Title
1,  0.69, 53.42,
2,  0.69, 53.50,
3,  0.65, 60.04,
4,  0.65, 61.01,
5,  0.65, 61.38,
6,  0.65, 62.50,
7,  0.64, 62.87,
8,  0.65, 62.57,
9,  0.66, 59.67,
10,  0.65, 59.00,
11,  0.65, 62.80,
12,  0.64, 61.09,
13,  0.64, 60.94,
14,  0.65, 61.90,
15,  0.64, 61.90,
16,  0.64, 61.38,
17,  0.65, 59.82,
18,  0.65, 60.86,
19,  0.66, 60.42,
20,  0.65, 60.27,
21,  0.65, 61.90,
22,  0.65, 61.68,
23,  0.66, 61.61,
24,  0.65, 61.61,
25,  0.65, 61.38,
26,  0.65, 60.94,
27,  0.67, 60.79,
28,  0.65, 62.43,
29,  0.66, 61.01,
30,  0.66, 60.57,
31,  0.65, 61.38,
32,  0.66, 61.68,
33,  0.66, 61.09,
34,  0.65, 61.68,
35,  0.66, 62.20,
36,  0.67, 61.98,
37,  0.66, 61.76,
38,  0.66, 62.28,
39,  0.66, 61.98,
40,  0.65, 62.05,
41,  0.65, 62.50,
42,  0.65, 63.69,
43,  0.65, 62.35,
44,  0.66, 62.05,
45,  0.66, 61.46,
46,  0.66, 63.10,
47,  0.66, 63.02,
48,  0.67, 62.43,
49,  0.67, 62.43,
50,  0.65, 63.69,
51,  0.65, 63.10,
52,  0.66, 63.47,
53,  0.66, 64.06,
54,  0.66, 63.76,
55,  0.65, 64.21,
56,  0.65, 64.29,
57,  0.65, 63.17,
58,  0.65, 64.43,
59,  0.67, 62.20,
60,  0.65, 65.18,
61,  0.65, 64.66,
62,  0.65, 64.66,
63,  0.65, 64.81,
64,  0.65, 64.58,
65,  0.65, 64.29,
66,  0.65, 64.14,
67,  0.70, 58.93,
68,  0.65, 63.69,
69,  0.67, 62.80,
70,  0.66, 63.91,
71,  0.67, 62.95,
72,  0.66, 63.76,
73,  0.67, 62.65,
74,  0.66, 63.47,
75,  0.67, 62.57,
12,  0.63, 65.42,
