Title
1,  0.69, 50.00,
2,  0.67, 59.38,
3,  0.66, 59.52,
4,  0.65, 62.95,
5,  0.65, 60.04,
6,  0.65, 61.76,
7,  0.65, 59.82,
8,  0.65, 62.50,
9,  0.65, 62.43,
10,  0.65, 61.61,
11,  0.64, 63.24,
12,  0.65, 61.90,
13,  0.65, 60.71,
14,  0.64, 62.80,
15,  0.65, 61.90,
16,  0.64, 62.65,
17,  0.64, 62.95,
18,  0.64, 63.10,
19,  0.65, 62.20,
20,  0.65, 63.10,
21,  0.64, 62.80,
22,  0.65, 60.42,
23,  0.65, 61.76,
24,  0.64, 62.65,
25,  0.65, 62.13,
26,  0.65, 62.05,
27,  0.64, 62.95,
28,  0.64, 63.24,
29,  0.65, 62.80,
30,  0.64, 63.47,
31,  0.64, 63.54,
32,  0.64, 63.54,
33,  0.64, 63.10,
34,  0.64, 63.62,
35,  0.64, 63.32,
36,  0.64, 63.54,
37,  0.63, 64.36,
38,  0.64, 63.17,
39,  0.64, 64.73,
40,  0.63, 64.36,
41,  0.63, 63.02,
42,  0.63, 64.06,
43,  0.65, 64.14,
44,  0.64, 64.14,
45,  0.65, 63.39,
46,  0.63, 64.73,
47,  0.63, 65.40,
48,  0.63, 65.33,
49,  0.62, 64.73,
50,  0.63, 64.51,
51,  0.63, 65.10,
52,  0.63, 65.33,
53,  0.62, 65.25,
54,  0.65, 64.58,
55,  0.63, 65.25,
56,  0.62, 65.25,
57,  0.62, 66.44,
58,  0.62, 66.00,
59,  0.62, 66.07,
60,  0.64, 64.51,
61,  0.62, 65.10,
62,  0.63, 64.88,
63,  0.63, 65.77,
64,  0.61, 67.19,
65,  0.62, 67.56,
66,  0.62, 68.15,
67,  0.63, 66.59,
68,  0.61, 67.86,
69,  0.61, 67.93,
70,  0.62, 67.11,
71,  0.61, 67.56,
72,  0.62, 66.44,
73,  0.62, 66.29,
74,  0.63, 66.44,
75,  0.62, 67.04,
69,  0.60, 69.17,
