Title
1,  0.61, 68.15,
2,  0.55, 74.93,
3,  0.53, 77.53,
4,  0.53, 77.98,
5,  0.51, 79.09,
6,  0.49, 81.99,
7,  0.49, 82.59,
8,  0.49, 82.51,
9,  0.49, 81.62,
10,  0.48, 83.04,
11,  0.47, 83.33,
12,  0.48, 82.81,
13,  0.48, 82.74,
14,  0.47, 83.41,
15,  0.48, 83.04,
16,  0.48, 82.81,
17,  0.47, 83.85,
18,  0.48, 83.18,
19,  0.48, 83.04,
20,  0.48, 83.04,
21,  0.47, 83.71,
22,  0.48, 83.63,
23,  0.48, 83.18,
24,  0.48, 82.89,
25,  0.49, 81.77,
26,  0.47, 83.78,
27,  0.48, 83.18,
28,  0.49, 81.99,
29,  0.48, 83.63,
30,  0.47, 84.08,
31,  0.48, 83.63,
32,  0.47, 84.00,
33,  0.48, 82.89,
34,  0.48, 83.18,
35,  0.47, 84.15,
36,  0.46, 84.97,
37,  0.45, 85.71,
38,  0.44, 86.31,
39,  0.44, 87.05,
40,  0.44, 86.68,
41,  0.45, 86.16,
42,  0.44, 86.76,
43,  0.43, 87.57,
44,  0.45, 86.61,
45,  0.44, 87.57,
46,  0.45, 86.46,
47,  0.45, 86.38,
48,  0.44, 86.53,
49,  0.44, 86.90,
50,  0.44, 86.83,
51,  0.44, 86.46,
52,  0.44, 87.28,
53,  0.44, 87.13,
54,  0.44, 87.13,
55,  0.44, 86.61,
56,  0.44, 86.83,
57,  0.44, 87.65,
58,  0.44, 86.90,
59,  0.49, 81.55,
60,  0.45, 86.76,
61,  0.44, 86.90,
62,  0.44, 86.98,
63,  0.44, 87.20,
64,  0.44, 87.28,
65,  0.43, 87.57,
66,  0.44, 86.83,
67,  0.45, 86.16,
68,  0.45, 86.16,
69,  0.44, 87.05,
70,  0.44, 86.68,
71,  0.44, 87.05,
72,  0.44, 87.50,
73,  0.43, 87.65,
74,  0.44, 87.13,
75,  0.44, 86.98,
65,  0.43, 87.68,
